	STATE	ANN
0	AK	87.55
1	AL	106.0
2	AR	114.5
3	AZ	111.75
4	CA	110.15
5	CO	103.2
6	CT	103.0
7	DC	105.0
8	DE	103.0
9	FL	101.67
10	GA	107.0
11	HI	94.25
12	IA	105.5
13	ID	110.0
14	IL	106.0
15	IN	106.75
16	KS	112.6
18	KY	106.5
19	LA	105.75
20	MA	101.0
21	MD	106.0
22	ME	99.5
23	MI	102.25
24	MN	103.2
25	MO	112.0
26	MS	107.0
27	MT	107.14
28	NC	102.17
29	ND	108.0
30	NE	111.14
31	NH	87.0
32	NJ	107.0
33	NM	108.67
34	NV	108.4
35	NY	100.33
36	OH	102.88
37	OK	113.0
38	OR	106.38
39	PA	102.71
40	PC	96.14
41	PR	98.0
42	RI	104.0
43	SC	106.67
44	SD	112.0
45	TN	106.17
46	TX	111.06
47	UT	107.0
48	VA	104.0
49	VT	101.0
50	WA	106.33
51	WI	104.75
52	WV	100.75
53	WY	103.0
